bet,Paper Name:,Reviewer Name,DOI (of paper),"Link to artefact repository (Github, Zenodo, Figshare etc)",Year Published:,Venue,Institution (if applicable),Research Area:,Which (if any) ACM Badges does the report have?,Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?,F1. Software is assigned a globally unique and persistent identifier (DOI),"If F1 is met, please input the DOI of the latest version",F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,F1.2. Different versions of the software are assigned distinct identifiers.,F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.,F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?,"F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)",Has the software artefact been mentioned or cited in the paper for ease of findability?,Please input any links to GitHub if available,Any additional notes for F?,A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count),"A1.1. The protocol is open, free, and universally implementable.","A1.2. The protocol allows for an authentication and authorization procedure, where necessary.","A2. Metadata are accessible, even when the software is no longer available.",A1 follow-up: Which of these protocols are available to download the software?,Does the software require the use of any 3rd party tools in order to retrieve it?,Does the software metadata (i.e. README) describe how to retrieve the artefact?,Is the software source code available?,Has the software been deployed onto a web server (if feasible)?,Any additional notes for A?,"I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",Has sufficient effort been made to allow integration via APIs or interfaces with other tools?,Any additional notes for I?,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",(R1) Please list the software attributes in the repository.,R1.1. Software is given a clear and accessible license.,R1.2. Software is associated with detailed provenance (version history).,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks","R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",R2 follow-up: Is there a file / project manager tool to help with the installation of other software / libraries?,Does the software require the use of any 3rd party tools in order to execute it?,Is the software itself documented well? Which of the following code readability standards have been implemented?,Have any containerisation engines / orchestrators been employed in the reuse of the software?,Is the software sufficiently modular?,"Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?",Any additional notes for R?,Anything else to note?,How long did this form take to complete?
13/03/2026 11:49:55,Dissecting Global Search: A Simple Yet Effective Method to Boost Individual Discrimination Testing and Repair,Freddie,10.1109/ICSE55347.2025.00235,https://anonymous.4open.science/r/GRFT-8C8A/readme.md,2025,ICSE,"Singapore Management University, Nanyang Technological University, Nankai University",SE for AI,,Yes,No,,No,No,No,No,No,Yes,https://anonymous.4open.science/r/GRFT-8C8A/readme.md,,Yes,Yes,Not necessary,Software is currently available,Download,No,No,Yes,Infeasable,,Yes,Yes,No: infeasible,,Yes,Numerous READMEs,No,No,Yes,Yes,environment.yml,No,"Docstrings, Inline comments",,Yes,Yes,,,05:13:00
15/03/2026 19:23:56,FIXDRIVE: Automatically Repairing Autonomous Vehicle Driving Behaviour for $0.08 per Violation,Freddie,10.1109/ICSE55347.2025.00216,https://github.com/lawbreaker2022/FixDrive2025,2025,ICSE,"Singapore Management University, Zhejiang University",Autonomous vehicles,,Yes,No,,No,No,No,No,No,Yes,https://github.com/lawbreaker2022/FixDrive2025,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,No,README only,No,No,No: program uses external libraries but are not referenced appropriately,Yes,,Yes,,,Yes,No,"R2: no requirements file just ""you need this"" in the README
R3: traces of unfinished code but it is nonetheless readable and documented
Needs OpenAI API key",,05:45:00
15/03/2026 19:34:40,MARQ: Engineering Mission-Critical AI-Based Software with Automated Result Quality Adaptation,Freddie,10.1109/ICSE55347.2025.00182,"https://zenodo.org/records/14731336, https://github.com/Gropi/MARQ",2025,ICSE,"Technical University of Darmstadt, Huawei",Misson-critical software,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14864174,Yes,Yes,Yes,Yes,Yes,No,https://github.com/Gropi/MARQ,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,Yes,Multiple READMEs,Yes,Yes,Yes,Yes,,Yes,Inline comments,Virtual Machine Environment,Yes,Yes,"They have provided a .ova file for an entire virtual environment where you can replicate results, very oldschool",,10:21:00
15/03/2026 19:44:25,Automated Test Generation For Smart Contracts via On-Chain Test Case Augmentation and Migration,Freddie,10.1109/ICSE55347.2025.00096,https://github.com/Jiashuo-Zhang/SolMigrator,2025,ICSE,"Peking University, Zhejiang University, Monash University, Beijing Jiatong University, Sun Yat-sen University, University of Electronic Science and Technology of China",Blockchain,,Yes,No,,No,No,No,No,No,Yes,https://github.com/Jiashuo-Zhang/SolMigrator,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,Yes,No: infeasible,,Yes,Multiple READMEs,No,No,Yes,Yes,requirements.txt (pip),No,,,Yes,Yes,,,06:59:00
16/03/2026 10:57:00,Boosting Code-line-level Defect Prediction with Spectrum Information and Causality Analysis,Freddie,10.1109/ICSE55347.2025.00240,https://github.com/shiyusunse/SOUND,2025,ICSE,Nanjing University,Defect prediction,,Yes,No,,No,No,No,No,No,Yes,https://github.com/shiyusunse/SOUND,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,Yes,No: infeasible,,No,README only,No,Yes,Yes,Yes,environment.yml,No,Inline comments,,Yes,Yes,,,06:40:00
16/03/2026 11:04:01,DPFuzzer: Discovering Safety Critical Vulnerabilities for Drone Path Planners,Freddie,10.1109/ICSE55347.2025.00051,https://github.com/ywang-scholar/DPFuzzer,2025,ICSE,Xidian University,Autonomous drones,,Yes,No,,No,No,No,No,No,Yes,https://github.com/ywang-scholar/DPFuzzer,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,No,README only and it isn't very descriptive,Yes,Yes,No: program uses external libraries but are not referenced appropriately,No,,Yes,,,No,Yes,"R2 I have no idea what other software they've used. I think it's ROS but they've not provided any details
R3: code is readable sure but documentation and project layout is quite poor",,06:35:00
16/03/2026 11:06:41,IRFuzzer: Specialized Fuzzing for LLVM Backend Code Generation,Freddie,10.1109/ICSE55347.2025.00130,,2025,ICSE,University of California,Fuzzing,,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,,01:45:00
17/03/2026 14:19:34,Ranking Relevant Tests for Order-Dependent Flaky Tests,Freddie,10.1109/ICSE55347.2025.00178,https://anonymous.4open.science/r/RankF-DDED/README.md,2025,ICSE,"The University of Texas at Austin, George Mason University",Testing,,Yes,No,,No,No,No,No,No,Yes,https://anonymous.4open.science/r/RankF-DDED/README.md,,Yes,Yes,Not necessary,Software is currently available,Download,No,No,Yes,Infeasable,Software itself not on website but they have a Google sites summary page https://sites.google.com/view/ranking-od-relevant-tests,Yes,No: datasets used but not referenced appropriately,No: infeasible,I2: data is linked to a google drive but not a DOI ,Yes,Multiple READMEs,No,No,No: program uses external libraries but are not referenced appropriately,No,,No,,,No,Yes,"R1.2. no requirements.txt file packages are just mentioned in the README
R3 code is indented inconsistently, code development practices are pretty terrible (I saw 4 nested for loops), no code documentation whatsoever",,10:44:00
17/03/2026 21:04:30,Selecting Initial Seeds for Better JVM Fuzzing,Freddie,10.1109/ICSE55347.2025.00028,https://github.com/gaotravor/Initial-seed-selection,2025,ICSE,Tianjin University,Java Virtual Machine Fuzzing,,Yes,No,,No,No,No,No,No,Yes,https://github.com/gaotravor/Initial-seed-selection,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,"I2: there is some data but I wouldn't class it as a ""dataset""",No,Single README,No,No,Yes,No,pom.xml (Maven / Java),Yes,,,Yes,Yes,"R3: readable but all comments are in Mandarin, I would assume English is the standard here? No comments or javadocs anyway
Needs JVM",,07:29:00
17/03/2026 21:19:33,Toward a Better Understanding of Probabilistic Delta Debugging,Freddie,10.1109/ICSE55347.2025.00117,https://zenodo.org/records/14425530,2025,ICSE,"University of Waterloo, The Hong Kong University of Science and Technology",Program reduction,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14854239,Yes,Yes,Yes,Yes,Yes,Yes,https://github.com/uw-pluverse/perses,Note that the GitHub provided is not the software itself but a project that they integrated the artefact into,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: datasets used but not referenced appropriately,Yes,"I1: hard to say since the input is software itself but I see no real problems here
I2: not necessarily datasets but I would have appreciated a more helpful reference of the input software
This artefact has been integrated into something called 'perses' (see A)",Yes,Sufficiently detailed README,Yes,Yes,No: program uses external libraries but are not referenced appropriately,Yes,,No,,Docker,Yes,Yes,"R2: can't find any package manager file
R3: code is readable, in-code documentation not great but README is nicely detailed",,13:00:00
18/03/2026 11:19:46,Tumbling Down the Rabbit Hole: How do Assisting Exploration Strategies Facilitate Grey-Box Fuzzing?,Freddie,10.1109/ICSE55347.2025.00044, https://github.com/SophrosyneX/Fuzzing-empirical-study,2025,ICSE,"Southern University of Science and Technology, Ant Group, Concordia University, The University of Hong Kong",Security/fuzzing,,Yes,No,,No,No,No,No,No,Yes, https://github.com/ SophrosyneX/Fuzzing-empirical-study,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,Yes,No but no clear constraints not to,"I1: hard to say since the benchmark suite is a collection of program files
",Yes,"README, CONTRBUTING.md (though not in root folder)",Yes,No,Yes,Yes,,No,,,No,No,R1.1. LICENSE available but not in root folder so it doesn't appear on GH,,09:01:00
18/03/2026 11:33:00, SECRET: Towards Scalable and Efficient Code Retrieval via Segmented Deep Hashing,Freddie,10.1109/ICSE55347.2025.00154,,2025,ICSE,"The Chinese University of Hong Kong, Xi'an Jiatong University, Sun Yat-sen University, Ant Research, Microsoft, Chongqing University",Code retrieval,,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,,03:36:00
18/03/2026 11:39:57,Decoding the Issue Resolution Process in Practice via Issue Report Analysis: a Case Study of Firefox,Freddie,10.1109/ICSE55347.2025.00241,"https://zenodo.org/records/14860151,https://github.com/sea-lab-wm/Decoding-the-Issue-Resolution-Process-of-Mozilla",2025,ICSE,William & Mary,Issue resolution,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14860151,Yes,Yes,Yes,Yes,Yes,Yes,https://github.com/sea-lab-wm/Decoding-the-Issue-Resolution-Process-of-Mozilla,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,"I2: there is ""data"" but not big enough to be considered a separate object",Yes,"Very detailed README, multiple informative documents",Yes,Yes,Yes,Yes,requirements.txt (pip),No,"Docstrings, Inline comments",,Yes,Yes,,,05:38:00
19/03/2026 12:24:28, Preserving Privacy in Software Composition Analysis: A Study of Technical Solutions and Enhancements,Freddie,10.1109/ICSE55347.2025.00055,https://github.com/whj0401/SafeSCA,2025,ICSE,"Hong Kong University of Science and Technology, Keen Security Lab",Software security,,Yes,No,,No,No,No,No,No,Yes,https://github.com/whj0401/SafeSCA,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,No,Single README,Yes,No,No: program uses external libraries but are not referenced appropriately,Yes,,Yes,,,Yes,No,"R2: no requirements.txt file
R3: code is readable
README mentions something about have an IDA (Interactive Disassembler)? Unsure if this is actually needed for execution",,07:53:00
19/03/2026 13:21:16,"UML is Back. Or is it? Investigating the Past, Present, and Future of UML in Open Source Software",Freddie,10.1109/ICSE55347.2025.00155,https://doi.org/10.6084/m9.figshare.28008434,2025,ICSE,Università della Svizzera italiana (USI),UML,,Yes,Yes,https://doi.org/10.6084/m9.figshare.28008434,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Not necessary,Software is currently available,Download,No,No,Yes,Infeasable,,Yes,Yes,No: infeasible,I2: the artefact is more or less the dataset (with a few scripts),Yes,README only but sufficient for an artefact of this kind,Yes,Yes,Yes,Yes,YAML files,No,Inline comments,Docker,Yes,Yes,,,08:29:00
19/03/2026 13:34:13,Understanding the Response to Open-Source Dependency Abandonment in the npm Ecosystem,Freddie,10.1109/ICSE55347.2025.00004,https://doi.org/10.5281/zenodo.12686619,2025,ICSE,"Carnegie Mellon University, University of Tennessee",OSS,,Yes,Yes,https://doi.org/10.5281/zenodo.13323422,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Not necessary,Software is currently available,Download,No,No,No,"No, but no clear constraints not to",Software is available as a HTML notebook?? So I guess,Yes,Yes,No: infeasible,Although you can't run it the code snippets themselves seem to comply?,No,README only,Yes,Yes,No: program uses external libraries but are not referenced appropriately,No,Rproj file,No,Notebook documentation,,No,No,"You can't even run the notebook they gave you, you have to copy it to something that can run R?? I wish I could properly penalise this",,12:26:00
20/03/2026 11:08:28,Understanding Compiler Bugs in Real Development,Freddie,10.1109/ICSE55347.2025.00068,,2025,ICSE,Jiao Tong University,Compiler bugs,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:56:00
20/03/2026 11:16:35, Studying Programmers Without Programming: Investigating Expertise Using Resting State fMRI,Freddie,10.1109/ICSE55347.2025.00164,https://github.com/largehappygroup/resting_state_connectivity/tree/main/better_replication_package,2025,ICSE,"Vanderbilt University, University of Michigan",fMRI,,Yes,No,,No,No,No,No,No,Yes,https://github.com/largehappygroup/resting_state_connectivity/tree/main/better_replication_package,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,No,README only,Yes,Yes,No: program uses external libraries but are not referenced appropriately,Yes,,No,Inline comments,,No,Yes,"R2: external libraries are only mentioned in README which doesn't help
The project structure is very messy and they know it and so they shoved all the relevant stuff into its own folder?? Not sure why they just wouldn't make a new repo",,07:40:00
20/03/2026 11:20:05,Accessibility Issues in Ad-Driven Web Applications,Freddie,10.1109/ICSE55347.2025.00171,,2024,ICSE,Virginia Tech,Web development,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No software artefact but their dataset is available here: https://zenodo.org/records/13137429,01:11:00
23/03/2026 10:58:13,Unveiling the Energy Vampires: A Methodology for Debugging Software Energy Consumption,Freddie,10.1109/ICSE55347.2025.00118,"https://zenodo.org/records/14702565,https://github.com/enriquebarba97/EnergyDebug",2025,ICSE,Delft University of Technology,Software energy consumption,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14702565,Yes,Yes,Yes,Yes,Yes,Yes,https://github.com/enriquebarba97/EnergyDebug,,Yes,Yes,Yes,Software is currently available,"Git (clone), Download",No,No,No,Infeasable,Only an ipynb reproduction notebook is available,Yes,No: no datasets used,No: infeasible,"I2: no large datasets used anyway, the data they have used is small enough to fit in the repo",Yes,Pretty good README,Yes,Yes,Yes,Yes,requirements.txt (pip),No,Inline comments,Docker,Yes,Yes,,,08:58:00
23/03/2026 11:16:54,"Automated, Unsupervised, and Auto-Parameterized Inference of Data Patterns and Anomaly Detection",Freddie,10.1109/ICSE55347.2025.00078,https://github.com/mooselab/Discover-Data-Quality-With-RIOLU,2025,ICSE,Polytechnique Montreal,Anomaly detection,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,No,,No,No,No,No,No,Yes,https://github.com/mooselab/Discover-Data-Quality-With-RIOLU,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,Yes,No: infeasible,,Yes,Multiple READMES in describing each section of the software,Yes,Yes,Yes,Yes,,No,Inline comments,,Yes,Yes,R2: no requirements file but they are mentioned in the README so unsure if this counts? I will give BOD,,07:31:00
23/03/2026 11:24:14,On Prescription or Off Prescription? An Empirical Study of Community-Prescribed Security Configurations for Kubernetes,Freddie,10.1109/ICSE55347.2025.00170,https://figshare.com/s/8c1b7c0cb5e2915d974c,2025,ICSE,"Kennesaw State University, Company-A, Auburn University",Containerisation,Artefact Available,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Yes,,The link is broken :(,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,,03:47:00
24/03/2026 14:21:02,Similar but Patched Code Considered Harmful: The Impact of Similar but Patched Code on Recurring Vulnerability Detection and How to Remove Them,Freddie,10.1109/ICSE55347.2025.00110, https://github.com/Zixuan-Tan/FVF ,2025,ICSE,"Zhejiang University, Centre for Software Excellence, Huawei",Vulnerability management,,Yes,No,,No,No,No,No,No,Yes, https://github.com/Zixuan-Tan/FVF ,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: datasets used but not referenced appropriately,No: infeasible,"I2: just a gz archive in the repo, no mention to it, would not be easy to machine automate",No,"README only, pretty bare bones",No,No,Yes,Yes,requirements.txt (pip),No,Inline comments,,Yes,Yes,,,07:30:00
24/03/2026 14:30:05, Tiver: Identifying Adaptive Versions of C/C++ Third-Party Open-Source Components Using a Code Clustering Technique,Freddie,10.1109/ICSE55347.2025.00188,https://github.com/youngjaechoi7/TIVER-public,2025,ICSE,Korea University,OSS,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,No,,No,No,No,No,No,Yes,https://github.com/youngjaechoi7/TIVER-public,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,Yes,You can run it on basically any repo,Yes,"Detailed README, paper included as well",No,No,No: program uses external libraries but are not referenced appropriately,Yes,,No,,Docker,No,Yes,"R3 readable and well documented, just missing out on in-code documentation",,07:56:00
24/03/2026 14:35:43, An Exploratory Study on the Engineering of Security Features,Freddie,10.1109/ICSE55347.2025.00184, https://doi.org/10.5281/zenodo.14237228,2025,ICSE,"Ruhr University Bochum, XITSAO GmbH, Chalmers University of Gothenburg ",Security,"Artefact Available, Artefact Functional",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No software artefact but dataset is available here! https://doi.org/10.5281/zenodo.14860507,04:48:00
03/03/2026 15:36:06,CodeImprove: Program Adaptation for Deep Code Models,Jed,10.1109/ICSE55347.2025.00139,https://github.com/CodeImprove/CodeImprove,2025,ICSE,"University of Texas at Dallas, University of Pennsylvania","Input Validation, Program Transformation",,Yes,No,,No,No,No,No,No,Yes,https://github.com/CodeImprove/CodeImprove,"Github, linked in paper, no DOI",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,"Github, no 3rd party tools required, source code available",Yes,No: no datasets used,No: infeasible,"I1: Internal dataset uses JSONL; I2: No external datasets used, so no qualified references needed; Sufficient effort: software artefact is a small tool, setting up API or interfaces with other tools is infeasible.",No,README,No,No,Yes,Yes,requirements section in readme,No,"Docstrings, Inline comments",,Yes,Yes,"R1: Readme is too small, not particularly relevant, and the only attribute; R3: Debatable, could be better quality, but there are at least some comments and documentation","Not great. Github, linked in paper at least, but lacking detailed metadata or information. No DOI.",00:13:00
03/03/2026 17:29:21,Fairquant: Certifying and Quantifying Fairness of Deep Neural Networks,Jed,10.1109/ICSE55347.2025.00016,https://zenodo.org/records/14890262,2025,ICSE,"University of Southern California, Purdue University",Deep Neural Networks,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14890262,Yes,Yes,Yes,Yes,Yes,No,https://github.com/briankim113/FairQuant-Artifact,"F2: Citation, license, and one author provided in metadata, along with DOI; Artefact not mentioned in paper",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,Detailed readme describing how to use and run the artefact,Yes,No: no datasets used,No: infeasible,"I1: CSV data structures used; Integration question: Small scale tool, api/interface not feasible",Yes,"Readme, License",Yes,No,No: program uses external libraries but are not referenced appropriately,Yes,,No,"Docstrings, Inline comments",Virtualbox,Yes,Yes,R1: Strong readme; R1.2: No provenance provided; R2: No libraries referenced; R3: Detailed documentation and commenting,Very strong repository and documentation,00:13:00
04/03/2026 14:40:50,Calibration and Correctness of Language Models for Code,Jed,10.1109/ICSE55347.2025.00040,https://zenodo.org/records/14744842,2025,ICSE,"UC Davis, Univ. of Stuttgart, Univ. of Houston, SRI","LLM, Calibration, Confidence Measure","Artefact Available, Artefact Functional",Yes,Yes,https://doi.org/10.5281/zenodo.14744842,Yes,Yes,Yes,Yes,Yes,No,,F1.1: Dataset used is not large enough to warrant a separate identifier; F1.2: Only one mentioned version of the software; No github as far as i could tell.,Yes,Yes,Not necessary,Software is currently available,Download,Artefact Unavailable,Artefact Unavailable,Yes,Artefact Unavailable,"3RD party tools: paper IS an LLM paper so potentially could require LLM key, however i could not verify whether or not it was required; Could not download to check the readme question",Yes,Artefact Unavailable,Artefact Unavailable,I1: I could see CSV files used on the zenodo repository; I2: I could not access the project files to check this,Artefact Unavailable,Multiple READMEs,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,pyproject.toml,Artefact Unavailable,,Docker,Artefact Unavailable,Artefact Unavailable,"R1, R1.2, R2, R3: I could not access the repository to verify these","The zenodo repository was too large for me to verify files (~180mb, or ~30min wait for download), so I was not able to verify some questions - if we think it necessary or if conflicts arise I could download and go through more thoroughly another time.",00:14:00
04/03/2026 15:24:36,An Empirical Study on Commit Message Generation Using LLMs via In-Context Learning,Jed,10.1109/ICSE55347.2025.00091,https://github.com/wuyifan18/LLM4CMG,2025,ICSE,"Peking University, Ant Group, Fudan University, The Chinese University of Hong Kong","Commit Message Generation, Large Language Model, In-Context Learning",,Yes,No,,No,No,No,No,No,Yes,https://github.com/wuyifan18/LLM4CMG,F1: I could not find any DOI for the artefact; F2: Very bare metadata on the github,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,"Typical github only entry, weak readme",Yes,Yes,No: infeasible,I1: Results generation files use JSON; I2: Somewhat qualified references to datasets used.,No,README,No,No,No: program uses external libraries but are not referenced appropriately,No,,No,Inline comments,,Yes,Yes,"R2: Other libraries used in source code, not appropriately referenced; R3: Some commenting, but not enough, and weak documentation; Use of 3rd party tools: Exemplar results for deepseek provided","No DOI, github repo only, weak readme/metadata",00:12:00
04/03/2026 15:35:27,Instruct or Interact? Exploring and Eliciting LLMs' Capability in Code Snippet Adaptation Through Prompt Engineering,Jed,10.1109/ICSE55347.2025.00104,https://github.com/ztwater/Instruct-or-Interact,2025,ICSE,National University of Defense and Technology,"Code Snippet Adaptation, Large Language Models, Prompt Engineering, Interactive Workflow",,Yes,No,,No,No,No,No,No,Yes,https://github.com/ztwater/Instruct-or-Interact,"No DOI, github only",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,I1: Uses JSON files,Yes,"README, LICENSE",Yes,No,No: program uses external libraries but are not referenced appropriately,No,requirements.txt (pip),No,,,Yes,Yes,"R1:Decent READMEs for each part of the project, and a LICENSE;R2: No qualified references to libraries used; R3: Insufficient documentation or code comments; 3rd party tools: i believe that the retrieved.json file in data is a pre-run set of generated code from LLMs, which means the user doesn't require an LLM of their own to generate anything?","No DOI, Github, decent quality readmes and metadata",00:10:00
04/03/2026 15:52:00,Search-Based LLMs for Code Optimization,Jed,10.1109/ICSE55347.2025.00021,https://github.com/shuzhenggao/sbllm,2025,ICSE," The Chinese University of Hong Kong, Harbin Institute of Technology","LLM Code Generation, Optimisation",,Yes,No,,No,No,No,No,No,Yes,https://github.com/shuzhenggao/sbllm,"F1, etc: No DOI, github only",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: datasets used but not referenced appropriately,No: infeasible,I1: Reads/writes using JSON; I2:'The processed dataset and test cases can be downloaded from [link]' is not sufficient to act as a qualified reference,Yes,"LICENSE, README",Yes,No,Yes,Yes,requirements.txt (pip),Yes,"Docstrings, Inline comments",,Yes,Yes,R2: Some qualified references to dependencies in the README; R3: Very good commenting; Use of 3rd party tools: there IS a directory containing 'processed data' but then the readme says you need an LLM key to run the software - here i'm assuming you DO need an LLM key,"No DOI, but a strong github with some good references and quality code commenting",00:10:00
04/03/2026 16:21:48,Towards Better Answers: Automated Stack Overflow Post Updating,Jed,10.1109/ICSE55347.2025.00024,https://figshare.com/articles/online_resource/Automatic_Post_Updating_zip/25465282?file=45564126,2025,ICSE,"Zhejiang University, Hangzhou City University, The University of Western Australia","Stack Overflow, Large Language Models, Post Updating, Data Quality",,Yes,Yes,https://doi.org/10.6084/m9.figshare.25465282,Yes,Yes,No,Yes,Yes,Yes,,"F1.1: Sufficiently granular, no separate identifier needed; F1.2: Only one version of the software, no need for multiple identifiers; F2: Metadata is lacking, only a license;",Yes,Yes,Not necessary,Software is currently available,Download,No,No,Yes,Infeasable,Figshare repository.,Yes,Yes,No: infeasible,"I1: JSON used; I2: README references an external dataset, including author name. Somewhat qualified?",No,README,Yes,No,No: program uses external libraries but are not referenced appropriately,Yes,requirements.txt (pip),Yes,Inline comments,,Yes,Yes,"R1: README only, and not much detail; R2: some reference to external software (EG: CodeLlama-13b-instruct) but more detail needed; R3: Decent inline commenting, room for improvement; 3rd party tools: i think you need an LLM key or access to use this software","Figshare repository, weak metadata",00:11:00
