Timestamp,Paper Name:,Year Published:,Venue,Institution (if applicable),Research Area:,Which (if any) ACM Badges does the report have?,Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?,F1. Software is assigned a globally unique and persistent identifier (DOI),F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,F1.2. Different versions of the software are assigned distinct identifiers.,F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.,F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?,"F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)",Has the software artefact been mentioned or cited in the paper for ease of findability?,A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count),"A1.1. The protocol is open, free, and universally implementable.","A1.2. The protocol allows for an authentication and authorization procedure, where necessary.","A2. Metadata are accessible, even when the software is no longer available.",A1 follow-up: Which of these protocols are available to download the software?,Does the software require the use of any 3rd party tools in order to retrieve it?,Does the software metadata (i.e. README) describe how to retrieve the artefact?,Is the software source code available?,Has the software been deployed onto a web server (if feasible)?,"I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",Has sufficient effort been made to allow integration via APIs or interfaces with other tools?,Is the software sufficiently modular?,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",R1.1. Software is given a clear and accessible license.,R1.2. Software is associated with detailed provenance (version history).,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks","R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",R2 follow-up: Is there a file / project manager tool to help with the installation of other software / libraries?,Does the software require the use of any 3rd party tools in order to execute it?,Is the software itself documented well? Which of the following code readability standards have been implemented?,Have any containerisation engines / orchestrators been employed in the reuse of the software?,"Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?",How long did this form take to complete?,Anything else to note?,DOI (of paper),"If F1 is met, please input the DOI of the latest version",Please input any links to GitHub if available,Any additional notes for F?,Any additional notes for A?,Any additional notes for I?,Any additional notes for R?,"Link to artefact repository (Github, Zenodo, Figshare etc)",(R1) Please list the software attributes in the repository.,Reviewer Name
01/03/2026 23:18:10,Cooperative Software Verification via Dynamic Program Splitting,2025,ICSE,,Security and Analysis ,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not necessary,Yes,Download,No,Yes,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,,Yes,00:04:02,,10.1109/ICSE55347.2025.00092,https://doi.org/10.5281/zenodo.14738651,,,,,,,README,Emma
02/03/2026 12:05:03,Exposing the Hidden Layer: Software Repositories in the Service of Seo Manipulation,2025,ICSE,"Fudan University, QI-ANXIN Technology, Tsinghua University",Security and Analysis,"Artefact Available, Artefact Functional",Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,No,Git (clone),No,Yes,Yes,Infeasable,Yes,No: datasets used but not referenced appropriately,Yes,Yes,Yes,Yes,Yes,Yes,Yes,requirements.txt (pip),No,"Docstrings, Inline comments",Docker,Yes,00:12:30,,10.1109/ICSE55347.2025.00147,,https://github.com/Marphownio/RepSEO_Classifier,,,,,,"README, appendix",Emma
02/03/2026 12:09:53,Hetrify: Efficient Verification of Heterogeneous Programs on RISC-V,2025,ICSE,National University of Defense Technology,Security and Analysis,,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,00:05:20,,10.1109/ICSE55347.2025.00081,,https://anonymous.4open.science/r/Hetrify,,,,,,,Emma
02/03/2026 12:18:36,Hyperion: Unveiling DApp Inconsistencies Using LLM and Dataflow-Guided Symbolic Execution,2025,ICSE,"Zhejiang University, Sun Yat-sen University",Security and Analysis,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,No,Git (clone),No,No,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,Inline comments,,Yes,00:08:21,,10.1109/ICSE55347.2025.00015,,https://github.com/shuo-young/Hyperion,,,,,https://github.com/shuo-young/Hyperion,README,Emma
02/03/2026 12:27:37,Smartreco: Detecting Read-Only Reentrancy via Fine-Grained Cross-DApp Analysis,2025,ICSE,"Peng Cheng Laboratory, GuangDong Engineering Technology Research Center of Blockchain",Security and Analysis,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,No,Git (clone),No,Yes,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,requirements.txt (pip),No,Inline comments,,Yes,00:07:14,,10.1109/ICSE55347.2025.00057,,https://github.com/jwzhang-zzz/smartReco,,,,,https://github.com/jwzhang-zzz/smartReco,README,Emma
02/03/2026 12:37:51,A Catalog of Micro Frontends Anti-Patterns,2025,ICSE,Federal University of Amazonas,Design and Architecture,Artefact Available,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not necessary,Yes,"Git (clone), Download",No,No,Yes,Infeasable,No,Yes,No: infeasible,No,Yes,No,No,No: program does not use external libraries,Yes,,No,,,Yes,00:07:00,,10.1109/ICSE55347.2025.00079,https://doi.org/10.5281/zenodo.14868084,https://github.com/nabsonp/ICSE-2025,,,,,,README,Emma
02/03/2026 12:48:05,PairSmell: A Novel Perspective Inspecting Software Modular Structure,2025,ICSE,"Nanjing University, University of Groningen, State Grid Nanjing Power Supply Company",	 Design and Architecture,"Artefact Available, Artefact Functional",Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,No,Download,No,Yes,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,requirements.txt (pip),No,,Docker,Yes,00:07:07,,10.1109/ICSE55347.2025.00072,,https://figshare.com/s/0a27c85b83bbfc69b5fc,,,,,https://figshare.com/s/0a27c85b83bbfc69b5fc,README,Emma
02/03/2026 12:53:56,"Understanding Architectural Complexity, Maintenance Burden, and Developer Sentiment -A Large-Scale Study",2025,ICSE,Google LLC,	 Design and Architecture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:05:00,,10.1109/ICSE55347.2025.00168,,,,,,,,,Emma
16/03/2026 17:20:24,"RepairAgent: An Autonomous, LLM-Based Agent for Program Repair",2025,ICSE,"University of Stuttgart, UC Davis",AI for Analysis,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not necessary,Yes,"Git (clone), Download",No,Yes,Yes,Infeasable,Yes,No: no datasets used,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"requirements.txt (pip), pyproject.toml",No,Inline comments,Docker,Yes,00:09:11,,10.1109/ICSE55347.2025.00157,https://doi.org/10.5281/zenodo.14872682,https://github.com/sola-st/RepairAgent,,,,,,README,Emma
16/03/2026 17:38:36,A Tale of Two DL Cities: When Library Tests Meet Compiler,2025,ICSE,"Tianjin University, The Hong Kong University of Science and Technology",SE for AI with Quality,,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Not necessary,No,Git (clone),No,Yes,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,requirements.txt (pip),No,,,Yes,00:10:00,,10.1109/ICSE55347.2025.00025,,https://github.com/ShenQingchao/OPERA?tab=readme-ov-file,,,,,,"readme, bugs.md, suplementresluts.md",Emma
16/03/2026 17:51:17,Iterative Generation of Adversarial Example for Deep Code Models,2025,ICSE,Chongqing University,SE for AI with Quality,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:03:44,,10.1109/ICSE55347.2025.00086,,,,,,,,,Emma
16/03/2026 18:02:23,On the Mistaken Assumption of Interchangeable Deep Reinforcement Learning Implementations,2025,ICSE,"Sun Yat-sen University, National University of Singapore",SE for AI with Quality,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not necessary,Yes,Download,No,Yes,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,requirements.txt (pip),No,,Docker,Yes,00:06:55,,10.1109/ICSE55347.2025.00222,https://doi.org/10.5281/zenodo.14864909,,,,,,,several readmes,Emma
16/03/2026 18:10:42,μPRL: A Mutation Testing Pipeline for Deep Reinforcement Learning Based on Real Faults,2025,ICSE,"Universita della Svizzera italiana, King's College London, Iowa State University",SE for AI with Quality,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,No,Git (clone),No,Yes,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,requirements.txt (pip),No,Inline comments,Docker,Yes,00:05:55,,10.1109/ICSE55347.2025.00036,,https://github.com/testingautomated-usi/muPRL,,,,,,,Emma
17/03/2026 02:26:20,Testing and Understanding Deviation Behaviors in FHE-Hardened Machine Learning Models,2025,ICSE,"The Hong Kong University of Science and Technology, HSBC",SE for AI with Quality,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,No,Git (clone),No,Yes,Yes,Infeasable,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,requirements.txt (pip),No,Inline comments,,Yes,00:12:00,,10.1109/ICSE55347.2025.00107,,https://github.com/Yiteng-Peng/HEDiff,,,,,,README,Emma
22/03/2026 17:10:52,TraceFL: Interpretability-Driven Debugging in Federated Learning via Neuron Provenance,2025,ICSE,"Virginia Tech, University of Minnesota",SE for AI with Quality,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not necessary,Yes,"Git (clone), Download",No,Yes,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,No,"Docstrings, Inline comments",ipnotebook,Yes,00:07:20,,10.1109/ICSE55347.2025.00128,https://doi.org/10.6084/m9.figshare.28293218,https://github.com/SEED-VT/TraceFL,,,,,,"README, paper",Emma
22/03/2026 17:17:44,A First Look at Conventional Commits Classification,2025,ICSE,Beijing Institute of Technology,AI for SE,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not necessary,Yes,"Git (clone), Download",No,Yes,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,requirements.txt (pip),No,,,Yes,00:06:27,,10.1109/ICSE55347.2025.00011,https://doi.org/10.6084/m9.figshare.26507083,https://github.com/0x404/conventional-commit-classification,,,,,,README paper,Emma
22/03/2026 17:23:13,Chatgpt Inaccuracy Mitigation During Technical Report Understanding: Are we There Yet?,2025,ICSE,"University of Calgary, York University(Toronto), IBM ",AI for SE,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,Yes,"Git (clone), Download",No,No,Yes,Infeasable,Yes,No: datasets used but not referenced appropriately,Yes,Yes,Yes,Yes,No,Yes,Yes,,No,Inline comments,ipnotebook,Yes,00:03:23,,10.1109/ICSE55347.2025.00145,,https://anonymous.4open.science/r/CHIME---ChatGPT-Inaccuracy-Mitigation-Engine-DEDC/README.md,,,,,,README,Emma
13/02/2026 17:39:51,The Product Beyond the Model – An Empirical Study of Repositories of Open-Source ML Products,2025,ICSE,"Carnegie Mellon University, Carnegie Mellon Software Engineering Institute, University of Toronto",Machine Learning,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:05:00,, 10.1109/ICSE55347.2025.00006,,,,,,,,,Emma
13/02/2026 18:17:34,Increasing the Effectiveness of Automatically Generated Tests by Improving Class Observability,2025,ICSE,"Pontificia Universidad , Universidad Católica Boliviana, RelationalAI, University of Passau",Testing,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:05:00,USing existing tools without editing them,10.1109/ICSE55347.2025.00156,,,,,,,,,Emma
12/12/2025 12:39:11,THANOS: DBMS Bug Detection via Storage Engine Rotation Based Differential Testing,2025,ICSE,"National University of Defense Technology, Tsinghua University",Databases and Business,,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,No,No,No,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,No,00:05:00,GitHub is mentioned but there is no repository (yet?) Not sure what they are waiting for,10.1109/ICSE55347.2025.00001,,https://github.com/Thanos2024/Thanos,,,,,,,Freddie
15/12/2025 13:46:52,Anomaly Detection in Large-Scale Cloud Systems: An Industry Case and Dataset,2025,ICSE,Toronto Metropolitan University,AI for Analysis,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasible,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,requirements.txt (pip),Yes,"Docstrings, Inline comments",Docker,Yes,00:05:00,,https://doi.org/10.1109/ICSE-SEIP66354.2025.00039,https://doi.org/10.5281/zenodo.14722600,https://github.com/msi-ru-cs/icse-seip2025-anomaly-detector-public,,,,,,"README.LICENSE,CITATION.cff",Freddie
15/12/2025 14:19:23,GenC2Rust: Towards Generating Generic Rust Code from C,2025,ICSE,"University of California, Irvine",Program Comprehension,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not necessary,Software is currently available,Download,No,Yes,No,Infeasible,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Docker,Yes,00:30:00,"The archive file is nearly 5GB!!! It's huge and doesn't even contain the source code
The only way to execute this is through Docker, but sufficient instructions are given anyway.
No repository at all, but this makes sense given the size of the file. (I think GitHub limits to 2GB?)",10.1109/ICSE55347.2025.00127,,,"Zenodo DOI keeps timing me out, will try again later",,,,,README,Freddie
02/02/2026 17:54:36,SpecGen: Automated Generation of Formal Program Specifications via Large Language Models,2025,ICSE,"Nanjing University, Nanyang Technological University, Singapore Management University",LLMs in testing,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,Yes,No: no datasets used,No,Yes,Yes,Yes,No,Yes,Yes,,Yes,Inline comments,,Yes,00:11:45,,10.1109/ICSE55347.2025.00129,,https://github.com/Lezhi-Ma/SpecGen-Artifact,GitHub Only,,,"Software needs an OpenAI API key...
No version history whatsoever, everything just uploaded to main
There are inline comments but not very many.
No requirements but allegedly the only thing you need to pip install is the OpenAI API  for Python",https://github.com/Lezhi-Ma/SpecGen-Artifact,"README, LICENSE",Freddie
02/02/2026 18:40:32,Understanding and Detecting Peer Dependency Resolving Loop in npm Ecosystem,2025,ICSE,Zhejiang University,Package Ecosystems,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,Yes,Yes,No,Yes,Yes,No,No,Yes,No,CMakeLists.txt (C),No,Inline comments,,Yes,00:05:32,,10.1109/ICSE55347.2025.00054,,https://github.com/ZJU-SEC/PeerChecker,GitHub no Zenodo,,,"Inline comments are present but sparse and don't explain much
There is a citation but it is within the README
No provenance as it was just uploaded straight to GitHub from a folder",https://github.com/ZJU-SEC/PeerChecker,README,Freddie
03/02/2026 17:07:31,Gpass: A Goal-Adaptive Neural Theorem Prover Based on Coq for Automated Formal Verification,2025,ICSE,"Peking University, Chinese Academy of Sciences, Zhongguancun Laboratory",Formal Verification,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,No,No: datasets used but not referenced appropriately,No,Yes,Yes,Yes,No,Yes,No,Bash install script that installs multiple dependencies,No,"Docstrings, Inline comments",,Yes,00:13:08,,10.1109/ICSE55347.2025.00116,, https://github.com/chenpp1881/Gpass,GitHub but no Zenodo,,"It is reading from files which have a .meta extension, only thing I can find about these files is that the extension name is also used by Unity? They do also use JSON so I'm a bit up in the air about this one.

They refer to a CoqGym dataset by name only so I don't know whether that counts as a ""qualified reference""? They just say ""please refer to that for instructions""","No provenance, another project just uploaded straight to GitHub from local
Docstrings and inline comments are used but very inconsistently
They left some commented debug statemetns in there as well", https://github.com/ chenpp1881/Gpass,"README, LICENSE",Freddie
03/02/2026 17:35:20,EffBT: An Efficient Behavior Tree Reactive Synthesis and Execution Framework,2025,ICSE,National University of Defense Technology,Execution and Synthesis Efficiency,"Artefact Available, Artefact Functional",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not necessary,Software is currently available,Download,No,Yes,No,Infeasable,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,No,,Docker,No,00:17:27,,10.1109/ICSE55347.2025.00225,https://doi.org/10.5281/zenodo.14736939,,Zenodo but no GitHub but fine given the large size,,Outputs can be made to a csv file which is fine but the inputs are .spectra? From what I can tell Spectra is another piece of software for synthesis,"Authors assume user knows how to install python and python libraries (same for Java)
There is no reusable badge so I'm assuming you may get different results if you ran this yourself",https://zenodo.org/records/14736872,"README, LICENSE",Freddie
03/02/2026 18:03:08,Datalog-Based Language-Agnostic Change Impact Analysis for Microservices,2025,ICSE,Nanjing University,Microservices,,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,Yes,No: no datasets used,No,No,Yes,Yes,Yes,Yes,No,"requirements.txt (pip), CMakeLists.txt",Yes,,,No,00:20:41,"The tool's GitHub linked in the paper does not bear the same name as the one they described. I assessed FAIR based on that tool but I could not find any reference to ""microscope"". That being said there has clearly been a lot of effort put into this, it is just quite a confusing setup.",10.1109/ICSE55347.2025.00115,,https://github.com/codefuse-ai/CodeFuse-Query,GitHub but no Zenodo,There are instructions for installing and running but they are all in mandarin,"They have made their own DSL language (no explanation as to what DSL stands for), as well as their own code data and standardization model (COREF), that being said inputs and outputs are fairly standard - the weird languages and stuff I think are just used within the tool itself","Has detailed Git provenance which is nice.
The GitHub itself is 3 tools in 1 repo which makes things a bit confusing
They have nice ipynb files to help with understanding it",https://github.com/codefuse-ai/CodeFuse-Query,README,Freddie
05/02/2026 12:02:20,An Empirical Study on Package-Level Deprecation in Python Ecosystem,2025,ICSE,The Chinese University of Hong Kong,Open-source Software,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:03:21,We are making the assumption that the dataset used for the study is FAIR itself,10.1109/ICSE55347.2025.00046,,,,,,,,,Freddie
05/02/2026 12:14:04, Instrumentation-Driven Evolution-Aware Runtime Verification,2025,ICSE,Cornell University,Runtime Verification,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,Yes,No: no datasets used,No,Yes,Yes,No,No,Yes,No,setup.sh file,No,,Docker,No,00:09:51,,10.1109/ICSE55347.2025.00099,,https://github.com/SoftEngResearch/imop,GitHub but no Zenodo,,,,https://github.com/SoftEngResearch/imop,README,Freddie
05/02/2026 12:37:16, Moye: A Wallbreaker for Monolithic Firmware,2025,ICSE,"University of Chinese Academy of Sciences, Guangxi University",Image Segmentation,,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,00:04:37,,10.1109/ICSE55347.2025.00053,,,,,,,,,Freddie
05/02/2026 12:41:14,Critical Variable State-Aware Directed Greybox Fuzzing,2025,ICSE,University of Chinese Academy of Sciences,Fuzzing,,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,00:03:22,,10.1109/ICSE55347.2025.00219,,,,,,,,,Freddie
05/02/2026 12:53:05,LWDIFF: an LLM-Assisted Differential Testing Framework for Webassembly Runtimes,2025,ICSE,"The Hong Kong Polytechnic University, University College London, Carnegie Mellon University",Software Testing,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,Yes,No: no datasets used,No,No,Yes,No,No,Yes,No,,Yes,,Docker,Yes,00:11:37,,10.1109/ICSE55347.2025.00233,,https://github.com/erxiaozhou/LWDIFF2024,,,,"Code is all over the place, API key is exposed, needs MongoDB and OpenAI",https://github.com/erxiaozhou/LWDIFF2024,README,Freddie
05/02/2026 13:02:51,"No Harness, No Problem: Oracle-guided Harnessing for Auto-generating C API Fuzzing Harnesses",2025,ICSE,University of Utah,"Fuzzing, Software Testing","Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,Yes,No: no datasets used,No,Yes,Yes,Yes,Yes,Yes,Yes,Dockerfile,No,"Docstrings, Inline comments",Docker,Yes,00:09:33,,10.1109/ICSE55347.2025.00239,https://doi.org/10.5281/zenodo.14727592,https://github.com/gavz/OGHarn_Oracle,"Zenodo and GitHub, beautiful",,,"Docstrings aren't consistent but they are useful when they are used
Only version on Zenodo is v1 and GitHub has no provenance so I will assume that no changes were made to the artefact beyond submission",https://zenodo.org/records/14727592,"README, LICENSE",Freddie
09/02/2026 19:10:35,Parametric Falsification of Many Probabilistic Requirements Under Flakiness,2025,ICSE,"Politecnico di Milano, Karlsruhe Institute of Technology","Complex Problems, Test Scenarios",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not necessary,Software is currently available,Download,No,No,Yes,Infeasable,Yes,No: no datasets used,No,Yes,Yes,No,Yes,Yes,No,,No,,,Yes,00:09:48,I'd argue that if this got submitted for artefact review it would have achieved all 3,10.1109/ICSE55347.2025.00237,https://doi.org/10.5281/zenodo.14360588,,This should give an ACM available no? Maybe they just didn't submit it for it? Would be weird considering the effort they've gone through,,,Docstrings are sometimes there but overall code is sparsely documented,https://zenodo.org/records/14360588,README,Freddie
09/02/2026 19:20:47,RediI: Test Infrastructure to Enable Deterministic Reproduction of Failures for Distributed Systems,2025,ICSE,"Nanjing University, University of California",Software Systems/Infrastructure,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Maven (Java),No,Inline comments,,Yes,00:08:41,,10.1109/ICSE55347.2025.00244,,https://github.com/SSCT-Lab/RediI,,,,"Inline comments are a bit haphazard, few TODOs left in there",https://github.com/SSCT-Lab/RediI,"README, LICENSE",Freddie
10/02/2026 18:49:26,Automated Generation of Accessibility Test Reports from Recorded User Transcripts,2025,ICSE,"University of California, Fable Tech Labs",Accessibility in Mobile Apps,,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,00:04:00,,10.1109/ICSE55347.2025.00043,,https://anonymous.4open.science/r/Reca11-3E54/,The link says the repo has expired lol,,,,https://anonymous.4open.science/r/Reca11-3E54/,,Freddie
10/02/2026 19:06:15,Fuzzing MLIR Compilers with Custom Mutation Synthesis,2025,ICSE,University of California,Fuzzing and compilers,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,Yes,Yes,No: infeasible,No,Yes,Yes,Yes,Yes,Yes,"pyproject.toml, go.mod (Go)",No,Inline comments,Docker,Yes,00:15:33,, 10.1109/ICSE55347.2025.00037,https://doi.org/10.6084/m9.figshare.25458925,https:// github.com/UCLA-SEAL/SynthFuzz,"The GitHub is the only mention of the artefact in the paper, but the GitHub then links to a Figshare which has all the proper criteria besides F1.1. because the dataset is included in the actual repo unlike other papers where they are two separate artefacts",,,"They give helpful instructions on how to run each RQ
I can't really see much from the repo but it looks like everything is just in the main.go file? not seeing much modularity","https:// github.com/UCLA-SEAL/SynthFuzz, https://figshare.com/articles/software/Artifact_for_SynthFuzz_-_Fuzzing_MLIR_Compilers_with_Custom_Mutation_Synthesis/25458925?file=52315148","README, LICENSE",Freddie
11/02/2026 18:49:39, Insvdf: Interface-State-Aware Virtual Device Fuzzing,2025,ICSE,"National University of Defense Technology, Hangzhou Dianzi University, Zhejiang University, Anhui Province Key Laboratory of Cyberspace Security Situation Awareness and Evaluation","Virtual machines, fuzzing",,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,00:04:27,, 10.1109/ICSE55347.2025.00190,,https://github.com/Chan9Yan9/InSVDF,There is a GitHub but nothing is on it besides the README. Potential deadline crunch miss,,,Even if the artefact was available you'd still need some VM software to use it,https://github.com/Chan9Yan9/InSVDF,,Freddie
