Paper Name:,Differences,FAIR Differences,FAIR Letters,Example Fields
Repository-Level Graph Representation Learning for Enhanced Security Patch Detection,17,5,"A, F, R",(R1) Please list the software attributes in the repository.; Any additional notes for R?; Does the software require the use of any 3rd party tools in order to execute it?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?; Has the software been deployed onto a web server (if feasible)?
SpecGen: Automated Generation of Formal Program Specifications via Large Language Models,17,5,"I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
Synthesizing Document Database Queries Using Collection Abstractions,17,5,"A, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Has the software artefact been mentioned or cited in the paper for ease of findability?
TacDroid: Detection of Illicit Apps Through Hybrid Analysis of UI-Based Transition Graphs,17,5,"A, F, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Does the software require the use of any 3rd party tools in order to execute it?
Towards High-Strength Combinatorial Interaction Testing for Highly Configurable Software Systems,17,5,"A, I, R",(R1) Please list the software attributes in the repository.; Anything else to note?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?; Has the software artefact been mentioned or cited in the paper for ease of findability?; Have any containerisation engines / orchestrators been employed in the reuse of the software?
Boosting Static Resource Leak Detection via LLM-based Resource-Oriented Intention Inference,17,4,"I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Anything else to note?
Demystifying and Detecting Cryptographic Defects in Ethereum Smart Contracts,17,4,R,"(R1) Please list the software attributes in the repository.; Any additional notes for R?; Anything else to note?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?"
Invivo Fuzzing by Amplifying Actual Executions,17,4,"A, F, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Anything else to note?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
Weakly-Supervised Log-Based Anomaly Detection with Inexact Labels via Multi-Instance Learning,17,4,"F, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Anything else to note?
Fairquant: Certifying and Quantifying Fairness of Deep Neural Networks,17,3,"I, R",(R1) Please list the software attributes in the repository.; Any additional notes for A?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
Hyperion: Unveiling DApp Inconsistencies Using LLM and Dataflow-Guided Symbolic Execution,17,3,"A, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
Metamorphic-Based Many-Objective Distillation of LLMs for Code-Related Tasks,17,3,R,(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Anything else to note?
"RepairAgent: An Autonomous, LLM-Based Agent for Program Repair",17,3,"A, R","(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for R?; Anything else to note?; Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?"
Towards Better Answers: Automated Stack Overflow Post Updating,17,3,"F, R",(R1) Please list the software attributes in the repository.; Any additional notes for A?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
Tumbling Down the Rabbit Hole: How do Assisting Exploration Strategies Facilitate Grey-Box Fuzzing?,16,6,"A, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for I?; Any additional notes for R?; How long did this form take to complete?
WDD: Weighted Delta Debugging,16,6,"A, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Anything else to note?; How long did this form take to complete?
What You See is What You Get: Attention-Based Self-Guided Automatic Unit Test Generation,16,5,"A, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Anything else to note?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
Fixing Large Language Models' Specification Misunderstanding for Better Code Generation,16,4,"I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Does the software require the use of any 3rd party tools in order to execute it?
Hedgecode: A Multi-Task Hedging Contrastive Learning Framework for Code Search,16,4,"F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for R?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Have any containerisation engines / orchestrators been employed in the reuse of the software?
An Extensive Empirical Study of Nondeterministic Behavior in Static Analysis Tools,16,3,"A, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Anything else to note?
An LLM-Based Agent-Oriented Approach for Automated Code Design Issue Localization,16,3,"I, R",(R1) Please list the software attributes in the repository.; Any additional notes for A?; Any additional notes for I?; Any additional notes for R?; Anything else to note?
PairSmell: A Novel Perspective Inspecting Software Modular Structure,16,3,"A, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Anything else to note?
Rango: Adaptive Retrieval-Augmented Proving for Automated Software Verification,16,3,"A, F, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for R?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?; Have any containerisation engines / orchestrators been employed in the reuse of the software?
Testing and Understanding Deviation Behaviors in FHE-Hardened Machine Learning Models,16,3,"A, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Anything else to note?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
TransferFuzz: Fuzzing with Historical Trace for Verifying Propagated Vulnerability Code,16,3,"A, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for A?; Any additional notes for F?; Any additional notes for R?
Are We Learning the Right Features? A Framework for Evaluating DL-Based Software Vulnerability Detection Solutions,16,2,"I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
μPRL: A Mutation Testing Pipeline for Deep Reinforcement Learning Based on Real Faults,16,2,"A, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
Boosting Code-line-level Defect Prediction with Spectrum Information and Causality Analysis,15,6,"A, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?; How long did this form take to complete?; Is the software itself documented well? Which of the following code readability standards have been implemented?
Aligning the Objective of LLM-Based Program Repair,15,5,"A, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for I?; Any additional notes for R?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?
An Exploratory Study of ML Sketches and Visual Code Assistants,15,5,"A, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Does the software require the use of any 3rd party tools in order to execute it?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?; Has the software artefact been mentioned or cited in the paper for ease of findability?
Automated Accessibility Analysis of Dynamic Content Changes on Mobile Apps,15,5,"A, F, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for I?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; How long did this form take to complete?; Institution (if applicable)
Large Language Models as Configuration Validators,15,5,"A, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for R?; Does the software require the use of any 3rd party tools in order to execute it?; How long did this form take to complete?
Topseed: Learning Seed Selection Strategies for Symbolic Execution from Scratch,15,5,"A, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?; Has the software artefact been mentioned or cited in the paper for ease of findability?; Has the software been deployed onto a web server (if feasible)?
Famos: Fault Diagnosis for Microservice Systems Through Effective Multi-Modal Data Fusion,15,4,"A, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?
Revisiting Unnaturalness for Automated Program Repair in the Era of Large Language Models,15,4,"A, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Does the software require the use of any 3rd party tools in order to retrieve it?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?
SeeAction: Towards Reverse Engineering How-What-Where of HCI Actions from Screencasts for UI Automation,15,4,"A, I, R","(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for I?; Any additional notes for R?; Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?"
An Empirical Study on Reproducible Packaging in Open-Source Ecosystems,15,3,"A, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for R?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?
"Code Cloning in Solidity Smart Contracts: Prevalence, Evolution, and Impact on Development",15,3,"F, I",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Anything else to note?
Code Comment Inconsistency Detection and Rectification Using a Large Language Model,15,3,"A, I, R","(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for R?; Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?"
Diversity Drives Fairness: Ensemble of Higher Order Mutants for Intersectional Fairness of Machine Learning Software,15,3,"I, R",(R1) Please list the software attributes in the repository.; Any additional notes for A?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
Leveraging Large Language Models for Enhancing the Understandability of Generated Unit Tests,15,3,"F, R",(R1) Please list the software attributes in the repository.; Any additional notes for A?; Any additional notes for I?; Any additional notes for R?; Does the software require the use of any 3rd party tools in order to execute it?
PacDroid: A Pointer-Analysis-Centric Framework for Security Vulnerabilities in Android Apps,15,3,"A, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for R?; Anything else to note?; Does the software require the use of any 3rd party tools in order to execute it?
Unseen Horizons: Unveiling the Real Capability of LLM Code Generation Beyond the Familiar,15,3,"I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Anything else to note?
A Multi-Agent Approach for REST API Testing with Semantic Graphs and LLM-Driven Inputs,15,2,"F, R","(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?"
Context Conquers Parameters: Outperforming Proprietary Llm in Commit Message Generation,15,2,"A, I",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for R?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?
On the Mistaken Assumption of Interchangeable Deep Reinforcement Learning Implementations,15,2,"A, I",(R1) Please list the software attributes in the repository.; Any additional notes for A?; Any additional notes for F?; Any additional notes for I?; Anything else to note?
Rug: Turbo Llm for Rust Unit Test Generation,15,2,R,"(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for R?; Anything else to note?; Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?"
Sand: Decoupling Sanitization from Fuzzing for Low Overhead,15,2,"A, I",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
TraceFL: Interpretability-Driven Debugging in Federated Learning via Neuron Provenance,15,2,"A, R",(R1) Please list the software attributes in the repository.; Any additional notes for A?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
Lightweight Concolic Testing via Path-Condition Synthesis for Deep Learning Libraries,15,1,R,(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for R?; Anything else to note?
The Design Smells Breaking the Boundary between Android Variants and AOSP,14,6,"A, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for R?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?; How long did this form take to complete?; Institution (if applicable)
Distilled Lifelong Self-Adaptation for Configurable Systems,14,4,"I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Anything else to note?
Template-Guided Program Repair in the Era of Large Language Models,14,4,"A, I, R",A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for A?; Any additional notes for R?; Anything else to note?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
Understanding and Detecting Peer Dependency Resolving Loop in npm Ecosystem,14,4,"F, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for R?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?; Has the software artefact been mentioned or cited in the paper for ease of findability?
HumanEvo: An Evolution-Aware Benchmark for More Realistic Evaluation of Repository-Level Code Generation,14,3,"I, R",(R1) Please list the software attributes in the repository.; Any additional notes for I?; Any additional notes for R?; Anything else to note?; Does the software require the use of any 3rd party tools in order to execute it?
Instrumentation-Driven Evolution-Aware Runtime Verification,14,3,"F, R","(R1) Please list the software attributes in the repository.; Any additional notes for F?; Does the software require the use of any 3rd party tools in order to execute it?; Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?"
RediI: Test Infrastructure to Enable Deterministic Reproduction of Failures for Distributed Systems,14,3,"F, R",(R1) Please list the software attributes in the repository.; Any additional notes for R?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?; Have any containerisation engines / orchestrators been employed in the reuse of the software?; How long did this form take to complete?
Smartreco: Detecting Read-Only Reentrancy via Fine-Grained Cross-DApp Analysis,14,3,"A, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for R?; Anything else to note?
Toward a Better Understanding of Probabilistic Delta Debugging,14,3,"A, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Have any containerisation engines / orchestrators been employed in the reuse of the software?
CodeImprove: Program Adaptation for Deep Code Models,14,2,"I, R",(R1) Please list the software attributes in the repository.; Any additional notes for A?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
"No Harness, No Problem: Oracle-guided Harnessing for Auto-generating C API Fuzzing Harnesses",14,2,R,(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for R?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
Static Analysis of Remote Procedure Call in Java Programs,14,2,"A, R","(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for A?; Any additional notes for R?; Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?"
Definition and Detection of Centralization Defects in Smart Contracts,14,1,F,"(R1) Please list the software attributes in the repository.; Any additional notes for F?; Anything else to note?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?"
LiSSA: Toward Generic Traceability Link Recovery Through Retrieval-Augmented Generation,14,1,I,(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
MARQ: Engineering Mission-Critical AI-Based Software with Automated Result Quality Adaptation,14,1,A,Any additional notes for R?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?; Has the software artefact been mentioned or cited in the paper for ease of findability?
ROSA: Finding Backdoors with Fuzzing,14,1,R,(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
The Power of Types: Exploring the Impact of Type Checking on Neural Bug Detection in Dynamically Typed Languages,13,4,"A, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?
Treefix: Enabling Execution with a Tree of Prefixes,13,4,"A, F, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for R?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?; Has the software been deployed onto a web server (if feasible)?; How long did this form take to complete?
Coni: Detecting Database Connector Bugs via State-Aware Test Case Generation,13,3,"I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Anything else to note?
DPFuzzer: Discovering Safety Critical Vulnerabilities for Drone Path Planners,13,3,"A, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for R?; Does the software require the use of any 3rd party tools in order to execute it?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?
LLM Based Input Space Partitioning Testing for Library APIs,13,3,R,(R1) Please list the software attributes in the repository.; Any additional notes for I?; Any additional notes for R?; Does the software require the use of any 3rd party tools in order to execute it?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?
RLCoder: Reinforcement Learning for Repository-Level Code Completion,13,3,"A, R",A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for R?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?; How long did this form take to complete?
SpecRover: Code Intent Extraction via LLMs,13,3,"F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Anything else to note?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?
exLong: Generating Exceptional Behavior Tests with Large Language Models,13,3,"F, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for I?; Any additional notes for R?; Have any containerisation engines / orchestrators been employed in the reuse of the software?; How long did this form take to complete?
A Differential Testing Framework to Identify Critical AV Failures Leveraging Arbitrary Inputs,13,2,"A, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for R?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
ConsCS: Effective and Efficient Verification of Circom Circuits,13,2,R,(R1) Please list the software attributes in the repository.; Any additional notes for A?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
Decictor: Towards Evaluating the Robustness of Decision-Making in Autonomous Driving Systems,13,2,"A, F",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Does the software require the use of any 3rd party tools in order to execute it?
Dockerfile Flakiness: Characterization and Repair,13,1,A,(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for R?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?
Answering User Questions About Machine Learning Models Through Standardized Model Cards,12,5,"I, R","(R1) Please list the software attributes in the repository.; Any additional notes for R?; Anything else to note?; Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?; How long did this form take to complete?"
Show Me Your Code! Kill Code Poisoning: A Lightweight Method Based on Code Naturalness,12,4,"A, R",(R1) Please list the software attributes in the repository.; Does the software require the use of any 3rd party tools in order to execute it?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?; Has the software been deployed onto a web server (if feasible)?; How long did this form take to complete?
A First Look at Conventional Commits Classification,12,3,"A, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for R?; Anything else to note?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?
Instruct or Interact? Exploring and Eliciting LLMs' Capability in Code Snippet Adaptation Through Prompt Engineering,12,3,"I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Anything else to note?
Search-Based LLMs for Code Optimization,12,3,"I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Anything else to note?
TOGLL: Correct and Strong Test Oracle Generation with LLMS,12,3,"F, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; How long did this form take to complete?
A Large-Scale Study of Model Integration in ML-Enabled Software Systems,12,2,"A, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Anything else to note?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?
LLM-Agents Driven Automated Simulation Testing and Analysis of small Uncrewed Aerial Systems,12,2,"A, R",A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for R?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?; How long did this form take to complete?
Large Language Models for Safe Minimization,12,2,"A, I",(R1) Please list the software attributes in the repository.; Any additional notes for I?; Any additional notes for R?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?
ROCODE: Integrating Backtracking Mechanism and Program Analysis in Large Language Models for Code Generation,12,2,R,(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for I?; How long did this form take to complete?; Institution (if applicable)
An Empirical Study on Commit Message Generation Using LLMs via In-Context Learning,12,1,R,(R1) Please list the software attributes in the repository.; Any additional notes for A?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
A Study of Undefined Behavior Across Foreign Function Boundaries in Rust Libraries,11,2,"A, F",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for R?; Anything else to note?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?
Planning a Large Language Model for Static Detection of Runtime Errors in Code Snippets,11,1,I,(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for I?; Anything else to note?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?
Unleashing the True Potential of Semantic-Based Log Parsing with Pre-Trained Language Models,11,0,,(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Anything else to note?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?
Accounting for Missing Events in Statistical Information Leakage Analysis,10,4,"A, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for R?; How long did this form take to complete?; Institution (if applicable); Research Area:
A Multiple Representation Transformer with Optimized Abstract Syntax Tree for Efficient Code Clone Detection,10,2,"A, R",A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for R?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?; How long did this form take to complete?
Automated Test Generation For Smart Contracts via On-Chain Test Case Augmentation and Migration,10,2,"A, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?; How long did this form take to complete?
Dissecting Global Search: A Simple Yet Effective Method to Boost Individual Discrimination Testing and Repair,9,2,"A, R",(R1) Please list the software attributes in the repository.; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?; How long did this form take to complete?; Institution (if applicable); Is the software itself documented well? Which of the following code readability standards have been implemented?
THANOS: DBMS Bug Detection via Storage Engine Rotation Based Differential Testing,9,0,,"Any additional notes for F?; Anything else to note?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to retrieve it?; Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?"
Towards Neural Synthesis for SMT-Assisted Proof-Oriented Programming,8,1,I,"Any additional notes for F?; Anything else to note?; How long did this form take to complete?; Institution (if applicable); Link to artefact repository (Github, Zenodo, Figshare etc)"
Can an LLM Find Its Way Around a Spreadsheet?,8,0,,Any additional notes for F?; Anything else to note?; Has the software been deployed onto a web server (if feasible)?; How long did this form take to complete?; Institution (if applicable)
Hetrify: Efficient Verification of Heterogeneous Programs on RISC-V,8,0,,"Any additional notes for F?; Anything else to note?; Has the software artefact been mentioned or cited in the paper for ease of findability?; How long did this form take to complete?; Link to artefact repository (Github, Zenodo, Figshare etc)"
QEDCartographer: Automating Formal Verification Using Reward-Free Reinforcement Learning,8,0,,Any additional notes for F?; Anything else to note?; Has the software artefact been mentioned or cited in the paper for ease of findability?; How long did this form take to complete?; Institution (if applicable)
Insvdf: Interface-State-Aware Virtual Device Fuzzing,7,0,,Any additional notes for F?; Any additional notes for R?; How long did this form take to complete?; Institution (if applicable); Please input any links to GitHub if available
When Quantum Meets Classical: Characterizing Hybrid Quantum-Classical Issues Discussed in Developer Forums,7,0,,"Anything else to note?; How long did this form take to complete?; Institution (if applicable); Link to artefact repository (Github, Zenodo, Figshare etc); Research Area:"
A Test Oracle for Reinforcement Learning Software Based on Lyapunov Stability Control Theory,6,0,,Any additional notes for A?; Anything else to note?; How long did this form take to complete?; Institution (if applicable); Research Area:
An Exploratory Study on the Engineering of Security Features,6,0,,"Anything else to note?; How long did this form take to complete?; Institution (if applicable); Link to artefact repository (Github, Zenodo, Figshare etc); Which (if any) ACM Badges does the report have?"
Chord: Towards a Unified Detection of Blockchain Transaction Parallelism Bugs,6,0,,"Any additional notes for F?; Anything else to note?; How long did this form take to complete?; Institution (if applicable); Link to artefact repository (Github, Zenodo, Figshare etc)"
Navigating the Testing of Evolving Deep Learning Systems: An Exploratory Interview Study,6,0,,"Anything else to note?; How long did this form take to complete?; Institution (if applicable); Link to artefact repository (Github, Zenodo, Figshare etc); Research Area:"
Automating a Complete Software Test Process Using LLMs: An Automotive Case Study,5,0,,Anything else to note?; How long did this form take to complete?; Institution (if applicable); Research Area:; Year Published:
COCA: Generative Root Cause Analysis for Distributed Systems with Code Knowledge,5,0,,Anything else to note?; How long did this form take to complete?; Institution (if applicable); Research Area:; Year Published:
"Code Today, Deadline Tomorrow: Procrastination Among Software Developers",5,0,,"How long did this form take to complete?; Institution (if applicable); Link to artefact repository (Github, Zenodo, Figshare etc); Research Area:; Year Published:"
Deep Learning-based Code Reviews: A Paradigm Shift or a Double-Edged Sword?,5,0,,Anything else to note?; How long did this form take to complete?; Institution (if applicable); Research Area:; Year Published:
Formally Verified Cloud-Scale Authorization,5,0,,Anything else to note?; How long did this form take to complete?; Institution (if applicable); Research Area:; Year Published:
Investigating the Impact of Interpersonal Challenges on Feeling Welcome in OSS,5,0,,"Anything else to note?; How long did this form take to complete?; Link to artefact repository (Github, Zenodo, Figshare etc); Research Area:; Year Published:"
Module-Aware Context Sensitive Pointer Analysis,5,0,,Anything else to note?; How long did this form take to complete?; Institution (if applicable); Research Area:; Year Published:
PUPPY: Finding Performance Degradation Bugs in DBMSs via Limited-Optimization Plan Construction,5,0,,Any additional notes for F?; Anything else to note?; How long did this form take to complete?; Research Area:; Year Published:
Practical Object-Level Sanitizer with Aggregated Memory Access and Custom Allocator,5,0,,Any additional notes for F?; Anything else to note?; How long did this form take to complete?; Research Area:; Year Published:
"Trust Dynamics in AI-Assisted Development: Definitions, Factors, and Implications",5,0,,Anything else to note?; How long did this form take to complete?; Institution (if applicable); Research Area:; Year Published:
"Understanding Architectural Complexity, Maintenance Burden, and Developer Sentiment -A Large-Scale Study",5,0,,Anything else to note?; How long did this form take to complete?; Institution (if applicable); Research Area:; Year Published:
