Paper Name:,Differences,FAIR Differences,FAIR Letters,Example Fields
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Model Editing for LLMs4Code: How Far are we?,7,7,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?"
Parametric Falsification of Many Probabilistic Requirements Under Flakiness,7,7,"F, R","F1. Software is assigned a globally unique and persistent identifier (DOI); F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?; F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo); R1.1. Software is given a clear and accessible license."
SOEN-101: Code Generation by Emulating Software Process Models Using Large Language Model Agents,7,7,"A, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md"
Scenario-Driven and Context-Aware Automated Accessibility Testing for Android Apps,7,7,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.1. Software is given a clear and accessible license.; R1.2. Software is associated with detailed provenance (version history)."
Towards More Trustworthy Deep Code Models by Enabling Out-of-Distribution Detection,7,7,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers."
A Tale of Two DL Cities: When Library Tests Meet Compiler,6,6,"A, F, I, R","A2. Metadata are accessible, even when the software is no longer available.; F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo); I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries"
ADAMAS: Adaptive Domain-Aware Performance Anomaly Detection in Cloud Service Systems,6,6,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; F1.2. Different versions of the software are assigned distinct identifiers.; I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries"
An Empirical Study of Proxy Contracts at the Ethereum Ecosystem Scale,6,6,"A, R","A2. Metadata are accessible, even when the software is no longer available.; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.1. Software is given a clear and accessible license.; R1.2. Software is associated with detailed provenance (version history).; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Are LLMs Correctly Integrated into Software Systems?,6,6,"A, F, R","A2. Metadata are accessible, even when the software is no longer available.; F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; R1.2. Software is associated with detailed provenance (version history).; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Boosting Code-line-level Defect Prediction with Spectrum Information and Causality Analysis,6,6,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.2. Software is associated with detailed provenance (version history).; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Calibration and Correctness of Language Models for Code,6,6,"I, R","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.1. Software is given a clear and accessible license.; R1.2. Software is associated with detailed provenance (version history).; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Combining Fine-Tuning and LLM-Based Agents for Intuitive Smart Contract Auditing with Justifications,6,6,"A, F, I, R","A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md"
Feature-Driven End-to-End Test Generation,6,6,"A, I, R","A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.2. Software is associated with detailed provenance (version history)."
GenC2Rust: Towards Generating Generic Rust Code from C,6,6,"F, I","F1. Software is assigned a globally unique and persistent identifier (DOI); F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?; F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)"
Janus: Detecting Rendering Bugs in Web Browsers via Visual Delta Consistency,6,6,"A, F, R","A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI); F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.1. Software is given a clear and accessible license."
LLMs Meet Library Evolution: Evaluating Deprecated API Usage in LLM-based Code Completion,6,6,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1.1. Software is given a clear and accessible license."
LibreLog: Accurate and Efficient Unsupervised Log Parsing Using Open-Source Large Language Models,6,6,"A, F, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md"
Licoeval: Evaluating LLMs on License Compliance in Code Generation,6,6,"A, F, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A2. Metadata are accessible, even when the software is no longer available.; F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md"
MAGIKA: AI-Powered Content-Type Detection,6,6,"A, F","A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI); F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?"
Mock Deep Testing: Toward Separate Development of Data and Models for Deep Learning,6,6,"I, R","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.1. Software is given a clear and accessible license.; R1.2. Software is associated with detailed provenance (version history).; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Preserving Privacy in Software Composition Analysis: A Study of Technical Solutions and Enhancements,6,6,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.2. Software is associated with detailed provenance (version history)."
The Design Smells Breaking the Boundary between Android Variants and AOSP,6,6,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1.1. Software is given a clear and accessible license.; R1.2. Software is associated with detailed provenance (version history).; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Tumbling Down the Rabbit Hole: How do Assisting Exploration Strategies Facilitate Grey-Box Fuzzing?,6,6,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1.1. Software is given a clear and accessible license.; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
WDD: Weighted Delta Debugging,6,6,"A, I, R","A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.2. Software is associated with detailed provenance (version history)."
Aligning the Objective of LLM-Based Program Repair,5,5,"A, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.2. Software is associated with detailed provenance (version history).; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
An Exploratory Study of ML Sketches and Visual Code Assistants,5,5,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.2. Software is associated with detailed provenance (version history).; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Answering User Questions About Machine Learning Models Through Standardized Model Cards,5,5,"I, R","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.2. Software is associated with detailed provenance (version history).; R2. Software includes qualified references to other software. e.g. external libraries, frameworks; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Automated Accessibility Analysis of Dynamic Content Changes on Mobile Apps,5,5,"A, F, I, R","A2. Metadata are accessible, even when the software is no longer available.; F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1.1. Software is given a clear and accessible license.; R1.2. Software is associated with detailed provenance (version history)."
Cooperative Software Verification via Dynamic Program Splitting,5,5,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1.2. Software is associated with detailed provenance (version history).; R2. Software includes qualified references to other software. e.g. external libraries, frameworks; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
DesignRepair: Dual-Stream Design Guideline-Aware Frontend Repair with Large Language Models,5,5,"A, R","A2. Metadata are accessible, even when the software is no longer available.; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.1. Software is given a clear and accessible license.; R1.2. Software is associated with detailed provenance (version history).; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Gpass: A Goal-Adaptive Neural Theorem Prover Based on Coq for Automated Formal Verification,5,5,"I, R","I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.2. Software is associated with detailed provenance (version history).; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Knowledge-Enhanced Program Repair for Data Science Code,5,5,"A, F, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; R1.1. Software is given a clear and accessible license."
LLM-Aided Automatic Modeling for Security Protocol Verification,5,5,"F, I, R","F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.2. Software is associated with detailed provenance (version history).; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Large Language Models as Configuration Validators,5,5,"A, I, R","A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Repository-Level Graph Representation Learning for Enhanced Security Patch Detection,5,5,"A, F, R","A2. Metadata are accessible, even when the software is no longer available.; F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.1. Software is given a clear and accessible license.; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Selecting Initial Seeds for Better JVM Fuzzing,5,5,"A, F, R","A2. Metadata are accessible, even when the software is no longer available.; F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R2. Software includes qualified references to other software. e.g. external libraries, frameworks; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
SpecGen: Automated Generation of Formal Program Specifications via Large Language Models,5,5,"I, R","I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.2. Software is associated with detailed provenance (version history).; R2. Software includes qualified references to other software. e.g. external libraries, frameworks; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Synthesizing Document Database Queries Using Collection Abstractions,5,5,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.2. Software is associated with detailed provenance (version history).; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
TacDroid: Detection of Illicit Apps Through Hybrid Analysis of UI-Based Transition Graphs,5,5,"A, F, R","A2. Metadata are accessible, even when the software is no longer available.; F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo); R1.1. Software is given a clear and accessible license.; R1.2. Software is associated with detailed provenance (version history).; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Topseed: Learning Seed Selection Strategies for Symbolic Execution from Scratch,5,5,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.2. Software is associated with detailed provenance (version history).; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Towards High-Strength Combinatorial Interaction Testing for Highly Configurable Software Systems,5,5,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1.2. Software is associated with detailed provenance (version history).; R2. Software includes qualified references to other software. e.g. external libraries, frameworks; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
"UML is Back. Or is it? Investigating the Past, Present, and Future of UML in Open Source Software",5,5,"F, I, R","F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1.2. Software is associated with detailed provenance (version history)."
Vulnerability Detection with Code Language Models: How Far are We?,5,5,"A, F, R","A2. Metadata are accessible, even when the software is no longer available.; F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.2. Software is associated with detailed provenance (version history)."
What You See is What You Get: Attention-Based Self-Guided Automatic Unit Test Generation,5,5,"A, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A2. Metadata are accessible, even when the software is no longer available.; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Accounting for Missing Events in Statistical Information Leakage Analysis,4,4,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1.2. Software is associated with detailed provenance (version history).; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Boosting Static Resource Leak Detection via LLM-based Resource-Oriented Intention Inference,4,4,"I, R","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1.1. Software is given a clear and accessible license.; R1.2. Software is associated with detailed provenance (version history).; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Chatgpt Inaccuracy Mitigation During Technical Report Understanding: Are we There Yet?,4,4,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Demystifying and Detecting Cryptographic Defects in Ethereum Smart Contracts,4,4,R,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.1. Software is given a clear and accessible license.; R1.2. Software is associated with detailed provenance (version history).; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Distilled Lifelong Self-Adaptation for Configurable Systems,4,4,"I, R","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1.2. Software is associated with detailed provenance (version history).; R2. Software includes qualified references to other software. e.g. external libraries, frameworks; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Enhancing Code Generation via Bidirectional Comment-Level Mutual Grounding,4,4,"F, I, R","F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R2. Software includes qualified references to other software. e.g. external libraries, frameworks; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Famos: Fault Diagnosis for Microservice Systems Through Effective Multi-Modal Data Fusion,4,4,"A, R","A2. Metadata are accessible, even when the software is no longer available.; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.2. Software is associated with detailed provenance (version history).; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Fixing Large Language Models' Specification Misunderstanding for Better Code Generation,4,4,"I, R","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1.2. Software is associated with detailed provenance (version history).; R2. Software includes qualified references to other software. e.g. external libraries, frameworks; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Hedgecode: A Multi-Task Hedging Contrastive Learning Framework for Code Search,4,4,"F, I, R","F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?; R1.2. Software is associated with detailed provenance (version history).; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Invivo Fuzzing by Amplifying Actual Executions,4,4,"A, F, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); F1.2. Different versions of the software are assigned distinct identifiers.; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
LWDIFF: an LLM-Assisted Differential Testing Framework for Webassembly Runtimes,4,4,"F, R","F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; R1.2. Software is associated with detailed provenance (version history).; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Revisiting Unnaturalness for Automated Program Repair in the Era of Large Language Models,4,4,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.2. Software is associated with detailed provenance (version history)."
SeeAction: Towards Reverse Engineering How-What-Where of HCI Actions from Screencasts for UI Automation,4,4,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Show Me Your Code! Kill Code Poisoning: A Lightweight Method Based on Code Naturalness,4,4,"A, R","A2. Metadata are accessible, even when the software is no longer available.; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.1. Software is given a clear and accessible license.; R1.2. Software is associated with detailed provenance (version history)."
Source Code Summarization in the Era of Large Language Models,4,4,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Template-Guided Program Repair in the Era of Large Language Models,4,4,"A, I, R","A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
The Power of Types: Exploring the Impact of Type Checking on Neural Bug Detection in Dynamically Typed Languages,4,4,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Treefix: Enabling Execution with a Tree of Prefixes,4,4,"A, F, I, R","A2. Metadata are accessible, even when the software is no longer available.; F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Understanding and Detecting Peer Dependency Resolving Loop in npm Ecosystem,4,4,"F, I, R","F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1.2. Software is associated with detailed provenance (version history).; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Understanding the Response to Open-Source Dependency Abandonment in the npm Ecosystem,4,4,"I, R","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1.1. Software is given a clear and accessible license.; R2. Software includes qualified references to other software. e.g. external libraries, frameworks; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Weakly-Supervised Log-Based Anomaly Detection with Inexact Labels via Multi-Instance Learning,4,4,"F, R","F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.2. Software is associated with detailed provenance (version history).; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
A First Look at Conventional Commits Classification,3,3,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1.1. Software is given a clear and accessible license."
